front,rooms,lounges,bathrooms,streetWidth,stairs,propertyAge,driverRoom,tent,patio,kitchen,outdoorRoom,garage,duplex,space,apartments,maidRoom,elevator,furnihsed,pool,basement,neighbourhood,location,price,square price
N,5,4,5,18,Yes,0,Yes,No,Yes,Yes,Yes,Yes,No,434,0,Yes,Yes,No,No,No,النرجس,North of Riyadh,4400000.0,10138.248847926268
N,5,4,3,15,Yes,0,Yes,No,Yes,Yes,Yes,Yes,No,300,1,Yes,Yes,No,No,No,العارض,North of Riyadh,2600000.0,8666.666666666666
N,5,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,No,No,عكاظ,South of Riyadh,1120000.0,3733.3333333333335
S,5,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,215,0,Yes,Yes,No,No,No,العارض,North of Riyadh,2400000.0,11162.790697674418
S,5,2,5,15,Yes,0,No,No,Yes,Yes,No,Yes,Yes,270,0,Yes,Yes,No,No,No,المونسية,East of Riyadh,2000000.0,7407.407407407408
E,5,5,5,20,No,0,No,No,No,Yes,No,No,No,500,0,No,No,No,No,No,السعادة,East of Riyadh,3000000.0,6000.0
S,7,3,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,312,2,Yes,No,No,No,No,الرمال,East of Riyadh,1850000.0,5929.48717948718
SW,4,1,3,15,Yes,0,No,No,No,Yes,No,No,No,205,0,No,No,No,No,No,نمار,West of Riyadh,1180000.0,5756.09756097561
SW,4,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,232,0,Yes,No,No,No,No,الرمال,East of Riyadh,1280000.0,5517.241379310345
N,7,4,5,20,Yes,5,Yes,Yes,Yes,Yes,Yes,Yes,No,600,1,Yes,No,Yes,No,No,طويق,West of Riyadh,2500000.0,4166.666666666667
W,4,3,2,21,Yes,0,Yes,Yes,Yes,Yes,No,Yes,No,300,1,Yes,No,No,No,Yes,الرمال,East of Riyadh,1800000.0,6000.0
W,4,3,3,20,No,0,Yes,No,Yes,Yes,No,Yes,Yes,402,1,Yes,Yes,No,No,No,الملك فهد,North of Riyadh,3500000.0,8706.467661691542
